"code_rome","clusters"
"A1101",1
"A1201",1
"A1202",1
"A1203",2
"A1204",3
"A1205",1
"A1301",4
"A1302",2
"A1303",4
"A1401",1
"A1402",1
"A1403",2
"A1404",2
"A1405",1
"A1406",5
"A1407",6
"A1408",6
"A1409",6
"A1410",6
"A1411",6
"A1412",7
"A1413",8
"A1414",2
"A1415",5
"A1416",2
"A1417",2
"A1501",9
"A1502",9
"A1503",9
"A1504",9
"B1101",10
"B1201",11
"B1301",12
"B1302",11
"B1303",11
"B1401",11
"B1402",11
"B1501",11
"B1601",11
"B1602",11
"B1603",11
"B1604",13
"B1701",9
"B1801",14
"B1802",14
"B1803",15
"B1804",14
"B1805",16
"B1806",14
"C1101",17
"C1102",18
"C1103",18
"C1104",19
"C1105",17
"C1106",3
"C1107",3
"C1108",20
"C1109",21
"C1110",18
"C1201",22
"C1202",20
"C1203",23
"C1204",17
"C1205",23
"C1206",23
"C1207",23
"C1301",24
"C1302",24
"C1303",24
"C1401",25
"C1501",26
"C1502",27
"C1503",26
"C1504",18
"D1101",7
"D1102",7
"D1103",7
"D1104",7
"D1105",7
"D1106",28
"D1107",29
"D1201",30
"D1202",31
"D1203",32
"D1204",22
"D1205",33
"D1206",15
"D1207",15
"D1208",32
"D1209",8
"D1210",9
"D1211",30
"D1212",30
"D1213",29
"D1214",30
"D1301",22
"D1401",34
"D1402",34
"D1403",34
"D1404",34
"D1405",35
"D1406",36
"D1407",34
"D1408",36
"D1501",22
"D1502",37
"D1503",37
"D1504",36
"D1505",22
"D1506",36
"D1507",37
"D1508",22
"D1509",36
"E1101",35
"E1102",38
"E1103",38
"E1104",39
"E1105",38
"E1106",40
"E1107",41
"E1108",40
"E1201",42
"E1202",42
"E1203",42
"E1204",43
"E1205",44
"E1301",45
"E1302",45
"E1303",44
"E1304",33
"E1305",40
"E1306",44
"E1307",44
"E1308",44
"E1401",36
"E1402",35
"F1101",26
"F1102",16
"F1103",26
"F1104",46
"F1105",46
"F1106",26
"F1107",46
"F1108",26
"F1201",26
"F1202",47
"F1203",46
"F1204",26
"F1301",48
"F1302",48
"F1401",49
"F1402",49
"F1501",50
"F1502",50
"F1503",12
"F1601",51
"F1602",52
"F1603",52
"F1604",12
"F1605",13
"F1606",50
"F1607",12
"F1608",12
"F1609",50
"F1610",49
"F1611",50
"F1612",10
"F1613",50
"F1701",49
"F1702",49
"F1703",49
"F1704",49
"F1705",52
"F1706",50
"G1101",53
"G1102",36
"G1201",54
"G1202",55
"G1203",56
"G1204",5
"G1205",56
"G1206",54
"G1301",36
"G1302",53
"G1303",53
"G1401",37
"G1402",37
"G1403",57
"G1404",37
"G1501",58
"G1502",58
"G1503",27
"G1601",7
"G1602",7
"G1603",28
"G1604",7
"G1605",28
"G1701",54
"G1702",54
"G1703",36
"G1801",28
"G1802",8
"G1803",28
"G1804",8
"H1101",59
"H1102",60
"H1201",61
"H1202",62
"H1203",63
"H1204",16
"H1205",15
"H1206",64
"H1207",64
"H1208",62
"H1209",62
"H1210",65
"H1301",66
"H1302",3
"H1303",3
"H1401",67
"H1402",67
"H1403",67
"H1404",63
"H1501",65
"H1502",63
"H1503",65
"H1504",13
"H1505",8
"H1506",63
"H2101",7
"H2102",68
"H2201",51
"H2202",69
"H2203",69
"H2204",70
"H2205",69
"H2206",12
"H2207",10
"H2208",10
"H2209",70
"H2301",71
"H2401",15
"H2402",15
"H2403",45
"H2404",45
"H2405",45
"H2406",45
"H2407",72
"H2408",72
"H2409",72
"H2410",72
"H2411",15
"H2412",15
"H2413",45
"H2414",72
"H2415",72
"H2501",68
"H2502",67
"H2503",68
"H2504",73
"H2505",73
"H2601",13
"H2602",13
"H2603",13
"H2604",74
"H2605",13
"H2701",75
"H2801",76
"H2802",76
"H2803",11
"H2804",75
"H2805",75
"H2901",66
"H2902",77
"H2903",66
"H2904",76
"H2905",74
"H2906",74
"H2907",77
"H2908",51
"H2909",74
"H2910",77
"H2911",77
"H2912",78
"H2913",77
"H2914",77
"H3101",71
"H3102",71
"H3201",45
"H3202",76
"H3203",51
"H3301",33
"H3302",33
"H3303",61
"H3401",74
"H3402",74
"H3403",76
"H3404",74
"I1101",26
"I1102",64
"I1103",27
"I1201",79
"I1202",79
"I1203",50
"I1301",13
"I1302",62
"I1303",74
"I1304",80
"I1305",80
"I1306",78
"I1307",80
"I1308",78
"I1309",80
"I1310",66
"I1401",80
"I1402",80
"I1501",79
"I1502",47
"I1503",76
"I1601",81
"I1602",76
"I1603",81
"I1604",81
"I1605",81
"I1606",81
"I1607",81
"J1101",82
"J1102",83
"J1103",82
"J1104",84
"J1201",85
"J1202",85
"J1301",85
"J1302",85
"J1303",85
"J1304",84
"J1305",85
"J1306",86
"J1307",85
"J1401",82
"J1402",83
"J1403",83
"J1404",83
"J1405",82
"J1406",83
"J1407",82
"J1408",83
"J1409",82
"J1410",82
"J1411",82
"J1412",83
"J1501",84
"J1502",27
"J1503",85
"J1504",85
"J1505",82
"J1506",84
"J1507",86
"K1101",87
"K1102",20
"K1103",83
"K1104",83
"K1201",59
"K1202",86
"K1203",56
"K1204",87
"K1205",87
"K1206",39
"K1207",87
"K1301",86
"K1302",86
"K1303",86
"K1304",58
"K1305",87
"K1401",39
"K1402",59
"K1403",88
"K1404",39
"K1405",20
"K1501",21
"K1502",89
"K1503",20
"K1504",20
"K1505",89
"K1601",38
"K1602",35
"K1701",56
"K1702",5
"K1703",27
"K1704",89
"K1705",5
"K1706",89
"K1707",89
"K1801",90
"K1802",26
"K1901",21
"K1902",21
"K1903",21
"K1904",89
"K2101",90
"K2102",91
"K2103",27
"K2104",89
"K2105",55
"K2106",55
"K2107",55
"K2108",55
"K2109",55
"K2110",55
"K2111",55
"K2112",90
"K2201",33
"K2202",79
"K2203",27
"K2204",58
"K2301",74
"K2302",68
"K2303",79
"K2304",74
"K2305",85
"K2306",68
"K2401",59
"K2402",65
"K2501",79
"K2502",47
"K2503",89
"K2601",22
"K2602",22
"K2603",32
"L1101",43
"L1102",92
"L1103",38
"L1201",92
"L1202",92
"L1203",92
"L1204",92
"L1301",93
"L1302",36
"L1303",41
"L1304",93
"L1401",47
"L1501",31
"L1502",14
"L1503",33
"L1504",74
"L1505",43
"L1506",94
"L1507",42
"L1508",43
"L1509",95
"M1101",60
"M1102",39
"M1201",24
"M1202",19
"M1203",19
"M1204",24
"M1205",19
"M1206",19
"M1207",24
"M1301",88
"M1302",88
"M1401",89
"M1402",59
"M1403",17
"M1404",27
"M1501",91
"M1502",91
"M1503",91
"M1601",25
"M1602",25
"M1603",25
"M1604",25
"M1605",25
"M1606",25
"M1607",25
"M1608",25
"M1609",25
"M1701",60
"M1702",35
"M1703",60
"M1704",39
"M1705",39
"M1706",39
"M1707",88
"M1801",96
"M1802",96
"M1803",96
"M1804",26
"M1805",96
"M1806",96
"M1807",35
"M1808",46
"M1809",46
"M1810",96
"N1101",95
"N1102",94
"N1103",95
"N1104",48
"N1105",33
"N1201",97
"N1202",97
"N1301",67
"N1302",98
"N1303",99
"N2101",56
"N2102",48
"N2201",56
"N2202",99
"N2203",48
"N2204",99
"N2205",98
"N3101",57
"N3102",48
"N3103",48
"N3201",98
"N3202",98
"N3203",95
"N4101",94
"N4102",100
"N4103",100
"N4104",54
"N4105",94
"N4201",98
"N4202",98
"N4203",97
"N4204",97
"N4301",48
"N4302",56
"N4401",56
"N4402",100
"N4403",95
