,intitule,rome,score,X1,X2,cluster
256,Encadrement de production de matériel électrique et électronique,H2501,,9.66846303395435,-0.769064929309912,68
257,Management et ingénierie de production,H2502,,35.176561357025896,-22.397818318067397,67
258,Pilotage d'unité élémentaire de production mécanique ou de travail des métaux,H2503,,10.9434526166609,-0.9035982632544929,68
259,Encadrement d'équipe en industrie de transformation,H2504,,27.4528900086822,-35.5789352460116,73
260,Encadrement d'équipe ou d'atelier en matériaux souples,H2505,,27.455450259654,-35.559689779565794,73
261,Bobinage électrique,H2601,,-2.57969539181725,-34.8209310225173,13
262,Câblage électrique et électromécanique,H2602,,-1.6310152130214097,-33.6311005771314,13
263,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",H2603,,2.88780340557257,-32.0413641489245,13
264,Montage de produits électriques et électroniques,H2604,,-6.02737324011425,-38.4843915747406,74
265,Montage et câblage électronique,H2605,,-1.6780634708513502,-32.5857926080181,13
266,Pilotage d'installation énergétique et pétrochimique,H2701,,15.618196273094098,-50.4973251913512,75
267,Conduite d'équipement de transformation du verre,H2801,,-8.51355893409853,-54.417309044805094,76
268,Conduite d'installation de production de matériaux de construction,H2802,,-8.62569192318364,-55.623163919005606,76
269,Façonnage et émaillage en industrie céramique,H2803,,-48.5336643424797,-49.1268487398038,11
270,"Pilotage de centrale à béton prêt à l'emploi, ciment, enrobés et granulats",H2804,,16.6243603556898,-51.5586999294843,75
271,Pilotage d'installation de production verrière,H2805,,15.1970696065994,-50.053065301714,75
272,Ajustement et montage de fabrication,H2901,,-0.20249877521904996,-49.0781269149928,66
273,Chaudronnerie - tôlerie,H2902,,2.21219516534435,-52.8507816938426,77
274,Conduite d'équipement d'usinage,H2903,,0.6239489607744879,-49.9167220329396,66
275,Conduite d'équipement de déformation des métaux,H2904,,-8.27939972337465,-51.6117197106203,76
276,Conduite d'équipement de formage et découpage des matériaux,H2905,,-8.031378420877001,-40.4515540471065,74
277,Conduite d'installation automatisée ou robotisée de fabrication mécanique,H2906,,-4.420504810065769,-38.3802859736008,74
278,Conduite d'installation de production des métaux,H2907,,4.26604072221923,-56.4654125102813,77
279,Modelage de matériaux non métalliques,H2908,,-51.6169796381942,-33.5796233063024,51
280,Montage-assemblage mécanique,H2909,,-5.4408277542353405,-39.3521002934439,74
281,Moulage sable,H2910,,3.5849900108127404,-55.2192737381414,77
282,Réalisation de structures métalliques,H2911,,2.2158612741294,-52.1676839277488,77
283,Réglage d'équipement de production industrielle,H2912,,9.53256672595209,-46.335724219378,78
284,Soudage manuel,H2913,,3.52264061792871,-52.544367362687105,77
285,Réalisation et montage en tuyauterie,H2914,,2.585194056657,-54.3573837852079,77
286,Conduite d'équipement de fabrication de papier ou de carton,H3101,,3.70951638024727,-70.81202833943459,71
287,Conduite d'installation de pâte à papier,H3102,,3.2924905216665095,-70.73656441575721,71
288,Conduite d'équipement de formage des plastiques et caoutchoucs,H3201,,-11.3757137739356,-62.464870190058605,45
289,Réglage d'équipement de formage des plastiques et caoutchoucs,H3202,,-9.41808397297222,-57.31897455567161,76
290,Fabrication de pièces en matériaux composites,H3203,,-51.032591188928606,-32.711518096416505,51
291,Conduite d'équipement de conditionnement,H3301,,-23.7622636524613,-19.5609147446298,33
292,"Opérations manuelles d'assemblage, tri ou emballage",H3302,,-24.7019506353817,-17.262377094321998,33
293,"Préparation de matières et produits industriels (broyage, mélange, ...)",H3303,,-20.929470628129398,-55.0063736858964,61
294,Conduite de traitement d'abrasion de surface,H3401,,-8.22555223951796,-39.7662067162236,74
295,Conduite de traitement par dépôt de surface,H3402,,-6.050793286268799,-41.5719886229143,74
296,Conduite de traitement thermique,H3403,,-8.97000391828252,-51.22646505111629,76
297,Peinture industrielle,H3404,,-9.997918259856949,-40.450638350602,74
298,Direction et ingénierie en entretien infrastructure et bâti,I1101,,41.2794836536467,15.144802159887302,26
299,Management et ingénierie de maintenance industrielle,I1102,,26.610916290472698,-9.97615338709818,64
300,Supervision d'entretien et gestion de véhicules,I1103,,6.0841394720189,9.73365763135788,27
301,Entretien d'affichage et mobilier urbain,I1201,,-61.256513549438104,-1.7649778928500501,79
302,Entretien et surveillance du tracé routier,I1202,,-63.303621402465296,-3.0832437654813303,79
303,Maintenance des bâtiments et des locaux,I1203,,-51.7362462636064,-27.487420544339102,50
304,Installation et maintenance d'ascenseurs,I1301,,1.00234293660941,-31.9317688109549,13
305,Installation et maintenance d'automatismes,I1302,,14.044619445341999,-21.3761856533847,62
306,Installation et maintenance de distributeurs automatiques,I1303,,-2.64935522340337,-39.7656661574126,74
307,Installation et maintenance d'équipements industriels et d'exploitation,I1304,,8.191855869404861,-36.8893327166098,80
308,Installation et maintenance électronique,I1305,,5.8455830037624406,-36.6848596308594,80
309,"Installation et maintenance en froid, conditionnement d'air",I1306,,10.4893748714676,-47.251634859400994,78
310,Installation et maintenance télécoms et courants faibles,I1307,,2.25712918759307,-37.7933718766877,80
311,Maintenance d'installation de chauffage,I1308,,10.849394749569399,-47.62659131380529,78
312,Maintenance électrique,I1309,,7.723276550475861,-36.0756477400174,80
313,Maintenance mécanique industrielle,I1310,,-1.08541177421016,-48.669252945576496,66
314,Maintenance informatique et bureautique,I1401,,3.94896449408727,-38.040600493616,80
315,Réparation de biens électrodomestiques,I1402,,6.89074381875486,-36.079395449262,80
316,Intervention en grande hauteur,I1501,,-61.2345711812746,-4.443642578284059,79
317,Intervention en milieu subaquatique,I1502,,0.8849261441780799,5.563714003586661,47
318,Intervention en milieux et produits nocifs,I1503,,-10.2384945425003,-50.4417764937068,76
319,Installation et maintenance en nautisme,I1601,,-25.7012593439856,-36.6052782886378,81
320,Maintenance d'aéronefs,I1602,,-6.11869809016281,-49.6883202989161,76
321,"Maintenance d'engins de chantier, levage, manutention et de machines agricoles",I1603,,-24.0590037280962,-38.2323321871472,81
322,Mécanique automobile et entretien de véhicules,I1604,,-23.4917719834684,-39.1488417620264,81
323,Mécanique de marine,I1605,,-26.1007861911327,-37.239657049068796,81
324,Réparation de carrosserie,I1606,,-22.5087226525479,-41.147860372421704,81
325,"Réparation de cycles, motocycles et motoculteurs de loisirs",I1607,,-23.051648249517797,-39.9801482636962,81
326,Médecine de prévention,J1101,,-47.793675281929595,43.434682270519104,82
327,Médecine généraliste et spécialisée,J1102,,-42.6561315585319,53.932648508824606,83
328,Médecine dentaire,J1103,,-49.0666620951017,45.041323275157396,82
329,Suivi de la grossesse et de l'accouchement,J1104,,-44.93679557468921,37.264007571068,84
330,Biologie médicale,J1201,,-51.156243253303394,27.815332866356,85
331,Pharmacie,J1202,,-51.0436346274018,29.4971248120507,85
332,Personnel polyvalent des services hospitaliers,J1301,,-54.3789602052739,31.024210060318605,85
333,Analyses médicales,J1302,,-51.3826670382507,26.794548745630397,85
334,Assistance médico-technique,J1303,,-53.4806294646871,32.7269077934397,85
335,Aide en puériculture,J1304,,-45.2986471807707,34.6083171945539,84
336,Conduite de véhicules sanitaires,J1305,,-51.58745674000011,33.5740033877685,85
337,Imagerie médicale,J1306,,-43.189744974144,33.7250660296304,86
338,Préparation en pharmacie,J1307,,-53.098786129835,31.6281520860552,85
339,Audioprothèses,J1401,,-51.489734205416404,46.0510392586953,82
340,Diététique,J1402,,-42.5315388483238,52.4828386759372,83
341,Ergothérapie,J1403,,-41.5648738724266,48.298870443054106,83
342,Kinésithérapie,J1404,,-43.64359776617211,51.215472174796496,83
343,Optique - lunetterie,J1405,,-51.62781395411861,45.2295688037683,82
344,Orthophonie,J1406,,-41.431378134693105,51.2430334762375,83
345,Orthoptique,J1407,,-49.1185529232879,47.499285307273,82
346,Ostéopathie et chiropraxie,J1408,,-42.5757689513936,50.546065343131396,83
347,Pédicurie et podologie,J1409,,-49.6325800736513,46.012177371680096,82
348,Prothèses dentaires,J1410,,-54.134081559481004,47.2643826096591,82
349,Prothèses et orthèses,J1411,,-52.9067448676303,46.7797302638571,82
350,Rééducation en psychomotricité,J1412,,-40.9955809817735,48.0895220823664,83
351,"Soins d'hygiène, de confort du patient",J1501,,-47.0231718533449,34.2779400885362,84
352,Coordination de services médicaux ou paramédicaux,J1502,,2.91240385906617,13.3321151064794,27
353,Soins infirmiers spécialisés en anesthésie,J1503,,-50.323934926688096,31.6626601749509,85
354,Soins infirmiers spécialisés en bloc opératoire,J1504,,-50.79188951733129,31.3495914504079,85
355,Soins infirmiers spécialisés en prévention,J1505,,-47.474037160252294,42.4804200720939,82
356,Soins infirmiers généralistes,J1506,,-45.838261756390494,36.017409866831,84
357,Soins infirmiers spécialisés en puériculture,J1507,,-39.4815562239245,30.4433028042413,86
358,Accompagnement et médiation familiale,K1101,,-25.513330248982896,29.2397405916888,87
359,Aide aux bénéficiaires d'une mesure de protection juridique,K1102,,43.1221901067657,39.6302462117026,20
360,Développement personnel et bien-être de la personne,K1103,,-40.5007228074418,46.8432846279181,83
361,Psychologie,K1104,,-39.219567045236296,49.825278476081294,83
362,Action sociale,K1201,,25.929886785665897,-1.3535767758863402,59
363,Éducation de jeunes enfants,K1202,,-37.397802312739,29.757641400379896,86
364,Encadrement technique en insertion professionnelle,K1203,,-18.378061368011,17.8905803083926,56
365,Médiation sociale et facilitation de la vie en société,K1204,,-25.1015777512771,26.6089509228268,87
366,Information sociale,K1205,,-25.8589043038317,28.178005643508897,87
367,Intervention socioculturelle,K1206,,17.923973061594,17.5350917649928,39
368,Intervention socioéducative,K1207,,-27.379467089677302,30.222031816651896,87
369,Accompagnement médicosocial,K1301,,-39.0585530569177,34.0812357795377,86
370,Assistance auprès d'adultes,K1302,,-40.458777800877705,33.3010742011066,86
371,Assistance auprès d'enfants,K1303,,-40.8651547966728,33.4073774617816,86
372,Services domestiques,K1304,,-63.684573034258605,4.8614701155942805,58
373,Intervention sociale et familiale,K1305,,-26.3322244948747,29.484635582929002,87
374,Conception et pilotage de la politique des pouvoirs publics,K1401,,21.4534148274137,14.1164108005553,39
375,Conseil en Santé Publique,K1402,,25.5814895168011,-2.12303523374945,59
376,"Management de structure de santé, sociale ou pénitentiaire",K1403,,13.0021265988633,12.4515959985765,88
377,Mise en oeuvre et pilotage de la politique des pouvoirs publics,K1404,,18.3448757491578,11.761242066519301,39
378,Représentation de l'Etat sur le territoire national ou international,K1405,,43.6330132863375,39.40593613400571,20
379,Application des règles financières publiques,K1501,,46.8912174671289,33.1185056736688,21
380,Contrôle et inspection des Affaires Sociales,K1502,,-18.667617729276,46.7818651812382,89
381,Contrôle et inspection des impôts,K1503,,47.514454456451595,35.0112892257298,20
382,Contrôle et inspection du Trésor Public,K1504,,47.72396620308329,35.6924181610202,20
383,Protection des consommateurs et contrôle des échanges commerciaux,K1505,,-19.2958646690155,47.3756534605011,89
384,Gestion de l'information et de la documentation,K1601,,71.25272270998529,-2.3331291889090697,38
385,Gestion de patrimoine culturel,K1602,,23.321945518930303,7.13334024696704,35
386,Personnel de la Défense,K1701,,-22.1004753212747,15.3075376512972,56
387,Direction de la sécurité civile et des secours,K1702,,-26.706241001412696,18.195054964267896,5
388,Direction opérationnelle de la défense,K1703,,-0.08797232411691999,12.2786152248137,27
389,Management de la sécurité publique,K1704,,-18.4102525939159,45.0876705039225,89
390,Sécurité civile et secours,K1705,,-25.9352710890075,16.8474382177197,5
391,Sécurité publique,K1706,,-20.575665117583302,43.882487026608295,89
392,Surveillance municipale,K1707,,-21.3829344400169,45.4285409640972,89
393,Conseil en emploi et insertion socioprofessionnelle,K1801,,22.5721770079465,43.162279253162005,90
394,Développement local,K1802,,39.1145745690792,14.761285641917699,26
395,Aide et médiation judiciaire,K1901,,42.8749246181492,33.023077096803796,21
396,Collaboration juridique,K1902,,43.439544589351904,31.282831917950503,21
397,Défense et conseil juridique,K1903,,43.3970142802038,32.68625010101061,21
398,Magistrature,K1904,,-17.9668020439283,47.3016758966213,89
399,Conseil en formation,K2101,,24.8530946411909,43.62454534047421,90
400,Coordination pédagogique,K2102,,20.213738797088197,35.1188584317736,91
401,Direction d'établissement et d'enseignement,K2103,,2.4115859019379,15.1106405281385,27
402,Éducation et surveillance au sein d'établissements d'enseignement,K2104,,-24.4851818604531,45.1167053695945,89
403,Enseignement artistique,K2105,,-8.792180346864459,70.1822104382656,55
404,Enseignement des écoles,K2106,,-9.920946759177289,66.0535085722737,55
405,Enseignement général du second degré,K2107,,-9.513882435437731,68.11915648011811,55
406,Enseignement supérieur,K2108,,-7.29485133680169,67.39959205076329,55
407,Enseignement technique et professionnel,K2109,,-9.675887404836619,68.8925978337526,55
408,Formation en conduite de véhicules,K2110,,-8.216807813563129,67.0840901755105,55
409,Formation professionnelle,K2111,,-11.038802537494199,69.9598215211048,55
410,Orientation scolaire et professionnelle,K2112,,23.1125365186269,43.3198612023129,90
411,Blanchisserie industrielle,K2201,,-27.1146075475132,-21.131358807783602,33
412,Lavage de vitres,K2202,,-62.240791033571604,-1.54716351700331,79
413,Management et inspection en propreté de locaux,K2203,,5.92619713256829,11.642517145624499,27
414,Nettoyage de locaux,K2204,,-64.8682903029422,3.78943990751823,58
415,Distribution et assainissement d'eau,K2301,,-2.25802320506637,-38.43984227297079,74
416,Management et inspection en environnement urbain,K2302,,7.60824623384954,1.30427736283403,68
417,Nettoyage des espaces urbains,K2303,,-64.36297746282911,-2.72157303203346,79
418,Revalorisation de produits industriels,K2304,,-8.099566045559339,-37.2725173130316,74
419,Salubrité et traitement de nuisibles,K2305,,-55.420393283318795,33.3509368895497,85
420,Supervision d'exploitation éco-industrielle,K2306,,8.09385404916415,0.542240454940177,68
421,Recherche en sciences de l'homme et de la société,K2401,,23.062301666730498,-4.5496729018948,59
422,"Recherche en sciences de l'univers, de la matière et du vivant",K2402,,17.400879388651,-11.3956666135486,65
423,Gardiennage de locaux,K2501,,-60.18062392197739,-1.45954743328868,79
424,Management de sécurité privée,K2502,,5.55408009580377,6.493023219749791,47
425,Sécurité et surveillance privées,K2503,,-23.056197646278,45.202590520722,89
426,Conduite d'opérations funéraires,K2601,,-0.22175434236278002,35.0998526512809,22
427,Conseil en services funéraires,K2602,,0.924119785938465,37.039116494917394,22
428,Thanatopraxie,K2603,,-42.584363531809004,24.2303866202138,32
429,Animation musicale et scénique,L1101,,-10.6938773379207,-27.963164615208804,43
430,Mannequinat et pose artistique,L1102,,-42.594421559994004,22.335797359723202,92
431,Présentation de spectacles ou d'émissions,L1103,,67.8706289570591,-1.3426637825852599,38
432,Danse,L1201,,-42.506271515177495,20.5532013380367,92
433,Musique et chant,L1202,,-41.827066521204706,19.5707185559825,92
434,Art dramatique,L1203,,-45.1007204992918,17.0586600783538,92
435,Arts du cirque et arts visuels,L1204,,-45.2830926089599,16.8012921563185,92
436,Mise en scène de spectacles vivants,L1301,,-11.7259008561889,-11.365291571507699,93
437,"Production et administration spectacle, cinéma et audiovisuel",L1302,,25.905715421761602,26.0299840770611,36
438,Promotion d'artistes et de spectacles,L1303,,-2.82221647573682,31.72779214552,41
439,Réalisation cinématographique et audiovisuelle,L1304,,-11.7239972997676,-11.3744350813957,93
440,Sportif professionnel,L1401,,1.71596087187246,6.16981959700613,47
441,Coiffure et maquillage spectacle,L1501,,-34.1567722305359,65.7977681068943,31
442,Costume et habillage spectacle,L1502,,-46.8632258157158,-58.076341677098895,14
443,Décor et accessoires spectacle,L1503,,-29.023726776423803,-21.737824258464602,33
444,Éclairage spectacle,L1504,,-4.58932851202998,-36.330829124930204,74
445,Image cinématographique et télévisuelle,L1505,,-8.66178994271301,-26.0584513926443,43
446,Machinerie spectacle,L1506,,-33.3301558944708,-9.478912899770462,94
447,Montage audiovisuel et post-production,L1507,,-8.89756092058206,-23.454559393695103,42
448,Prise de son et sonorisation,L1508,,-9.135501412977028,-27.4405861553341,43
449,Régie générale,L1509,,-26.762749913292797,-7.59172297667291,95
450,Achats,M1101,,32.2428255612685,11.1858796590648,60
451,Direction des achats,M1102,,19.7540216694755,9.98253970145492,39
452,Analyse et ingénierie financière,M1201,,64.5128626085587,41.79919168992,24
453,Audit et contrôle comptables et financiers,M1202,,57.2917980606649,38.081900738311,19
454,Comptabilité,M1203,,58.734811456478795,37.433208971090394,19
455,Contrôle de gestion,M1204,,59.2857464622562,40.0556273596563,24
456,Direction administrative et financière,M1205,,54.9954119055748,39.6796887938807,19
457,Management de groupe ou de service comptable,M1206,,57.917302497576706,38.716301116708294,19
458,Trésorerie et financement,M1207,,60.998882104681606,40.8063322427179,24
459,Direction de grande entreprise ou d'établissement public,M1301,,13.519495908550198,13.2064583873371,88
460,Direction de petite ou moyenne entreprise,M1302,,14.227968586756,13.9404400222791,88
461,Conduite d'enquêtes,M1401,,-16.5950806903405,48.0649658032734,89
462,Conseil en organisation et management d'entreprise,M1402,,21.951555775415503,-3.2177509186523503,59
463,Études et prospectives socio-économiques,M1403,,66.85386092010239,28.57177584315,17
464,Management et gestion d'enquêtes,M1404,,2.40951407537271,12.3012527204132,27
465,Assistanat en ressources humaines,M1501,,19.5437804955662,32.7582455214475,91
466,Développement des ressources humaines,M1502,,20.43459164116,34.4392557116818,91
467,Management des ressources humaines,M1503,,21.634259499180196,33.8325202278672,91
468,Accueil et renseignements,M1601,,79.769459258073,-3.6673213647591,25
469,Opérations administratives,M1602,,78.601771937852,-4.726276781160291,25
470,Distribution de documents,M1603,,82.8891289523898,-6.448246924977,25
471,Assistanat de direction,M1604,,75.05248705635191,-3.9302980425645,25
472,Assistanat technique et administratif,M1605,,78.8683015491193,-6.047552377821621,25
473,Saisie de données,M1606,,77.59142648442229,-6.467832039611241,25
474,Secrétariat,M1607,,81.46970696333571,-7.09291747178364,25
475,Secrétariat comptable,M1608,,76.59235567279809,-4.17921022140387,25
476,Secrétariat et assistanat médical ou médico-social,M1609,,81.0785866221599,-7.829503261236969,25
477,Administration des ventes,M1701,,32.7780834568177,12.170799101366,60
478,Analyse de tendance,M1702,,22.0583436254037,7.157267455055339,35
479,Management et gestion de produit,M1703,,32.6567930678655,10.4675985767954,60
480,Management relation clientèle,M1704,,19.200828513506,15.3742293310561,39
481,Marketing,M1705,,18.9277919859345,14.260552877241,39
482,Promotion des ventes,M1706,,18.7960342025776,16.0556969029106,39
483,Stratégie commerciale,M1707,,15.1226146765571,15.0479591195894,88
484,Administration de systèmes d'information,M1801,,47.556380652815506,0.8127716335542869,96
485,Expertise et support en systèmes d'information,M1802,,44.74672446166229,4.900532860277309,96
486,Direction des systèmes d'information,M1803,,42.6843171437297,6.43482251969357,96
487,Études et développement de réseaux de télécoms,M1804,,40.7722451866027,13.403751483227198,26
488,Études et développement informatique,M1805,,47.3122225365086,1.2813244419443701,96
489,Conseil et maîtrise d'ouvrage en systèmes d'information,M1806,,44.327130111989604,5.297504002084461,96
490,Exploitation de systèmes de communication et de commandement,M1807,,20.521861832928398,3.5971671723108303,35
491,Information géographique,M1808,,0.5924779196836579,-9.288806385256711,46
492,Information météorologique,M1809,,-0.520516720074957,-7.54486751525162,46
493,Production et exploitation de systèmes d'information,M1810,,48.138620591708005,-0.223538606583822,96
494,Conduite d'engins de déplacement des charges,N1101,,-24.5427613325494,-8.400000151174611,95
495,Déménagement,N1102,,-34.412881480281,-9.23685704275502,94
496,Magasinage et préparation de commandes,N1103,,-24.2015075969397,-10.2446129021346,95
497,Manoeuvre et conduite d'engins lourds de manutention,N1104,,-25.675540659668602,2.55914985482489,48
498,Manutention manuelle de charges,N1105,,-25.597371991276997,-18.6591011077158,33
499,Affrètement transport,N1201,,-3.7412502781750296,23.3064207409127,97
500,Gestion des opérations de circulation internationale des marchandises,N1202,,-3.92936712350555,23.637808516853298,97
501,Conception et organisation de la chaîne logistique,N1301,,36.104682787501105,-24.059920276493695,67
502,Direction de site logistique,N1302,,3.24574404165101,21.8136664264005,98
503,Intervention technique d'exploitation logistique,N1303,,-8.975416689080241,15.1232279836974,99
504,Navigation commerciale aérienne,N2101,,-19.0823293300556,16.3943866473249,56
505,Pilotage et navigation technique aérienne,N2102,,-21.6946478050739,0.38264738953972705,48
506,Personnel d'escale aéroportuaire,N2201,,-17.8439778410541,12.8113175072749,56
507,Contrôle de la navigation aérienne,N2202,,-10.7856055155162,13.6064891362322,99
508,Exploitation des pistes aéroportuaires,N2203,,-22.031952646234004,-1.16913184872056,48
509,Préparation des vols,N2204,,-9.62003763477945,14.644656399575501,99
510,Direction d'escale et exploitation aéroportuaire,N2205,,1.4245435579938603,19.8600628200241,98
511,Encadrement de la navigation maritime,N3101,,8.621454397430709,18.4523856543582,57
512,Equipage de la navigation maritime,N3102,,-23.544160135264395,-2.5419848313145,48
513,Navigation fluviale,N3103,,-23.888702568597,-1.9836117849189,48
514,Exploitation des opérations portuaires et du transport maritime,N3201,,2.15119447928406,24.294269387687997,98
515,Exploitation du transport fluvial,N3202,,3.03745669668064,24.243381180442,98
516,Manutention portuaire,N3203,,-24.2137162030205,-7.476123169195301,95
517,Conduite de transport de marchandises sur longue distance,N4101,,-36.281158106521,-8.74178648171261,94
518,Conduite de transport de particuliers,N4102,,-33.3162902180989,6.66340926008008,100
519,Conduite de transport en commun sur route,N4103,,-33.8330211597729,6.689063924689321,100
520,Courses et livraisons express,N4104,,-15.741791503836902,29.3523506699121,54
521,Conduite et livraison par tournées sur courte distance,N4105,,-35.6844027562895,-8.909377043740859,94
522,Direction d'exploitation des transports routiers de marchandises,N4201,,2.96084646824826,20.3465087572181,98
523,Direction d'exploitation des transports routiers de personnes,N4202,,3.4649774605509704,19.578548319983998,98
524,Intervention technique d'exploitation des transports routiers de marchandises,N4203,,-2.84487199975738,19.7189537462811,97
525,Intervention technique d'exploitation des transports routiers de personnes,N4204,,-3.28367271023521,18.852978324505898,97
526,Conduite sur rails,N4301,,-24.207201386701698,4.13987064216967,48
527,Contrôle des transports en commun,N4302,,-17.759274034056002,14.1637997545609,56
528,Circulation du réseau ferré,N4401,,-17.0859167235114,14.3124543219234,56
529,Exploitation et manoeuvre des remontées mécaniques,N4402,,-35.133622000921505,6.76440650623698,100
530,Manoeuvre du réseau ferré,N4403,,-25.0137529285155,-7.03197671423179,95
